JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2432829.4	9.12			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432829.5	8.6			Vis.	FE								V				R CAM		STD				
2432829.7	9.4			Vis.	RCJ								V				R CAM		STD				
2432830.4	8.97			Vis.	WDY								Z				R CAM	BAA-VSS	STD				BAAVSS
2432832.31	9.3			Vis.	CC								V				R CAM		STD				
2432833.4	8.97			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432837.4	8.97			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432839.3	9.04			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432840.7	8.9			Vis.	BGD								V				R CAM		STD				
2432847.4	8.6			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432851.3	8.68			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432851.4	8.76			Vis.	WDY								Z				R CAM	BAA-VSS	STD				BAAVSS
2432851.7	8.8			Vis.	BGD								V				R CAM		STD				
2432852.23	8.6			Vis.	CC								V				R CAM		STD				
2432852.5	8.2			Vis.	FE								V				R CAM		STD				
2432852.5	9.0			Vis.	H								V				R CAM		STD				
2432852.7	9.3			Vis.	UP								V				R CAM		STD				
2432860.3	8.88			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432860.7	9.3			Vis.	RCJ								V				R CAM		STD				
2432863.7	8.7			Vis.	BGD								V				R CAM		STD				
2432874.3	8.91			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432876.3	8.84			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432877.7	8.8			Vis.	BGD								V				R CAM		STD				
2432879.4	8.97			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432880.4	8.97			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432885.5	8.6			Vis.	FE								V				R CAM		STD				
2432885.7	9.0			Vis.	BGD								V				R CAM		STD				
2432889.9	9.7			Vis.	HK								V				R CAM		STD				
2432890.3	9.32			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432892.7	9.1			Vis.	BGD								V				R CAM		STD				
2432892.7	9.8			Vis.	RCJ								V				R CAM		STD				
2432894.5	9.98			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432908.4	10.63			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432911.5	10.8			Vis.	FE								V				R CAM		STD				
2432915.5	11.22			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2432915.6	10.98			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2432937.5	12.5			Vis.	FE								V				R CAM		STD				
2432949.6	<11.5			Vis.	W								V				R CAM		STD				
2432965.6	<11.9			Vis.	W								V				R CAM		STD				
2432966.5	<13.0			Vis.	FE								V				R CAM		STD				
2432971.5	<13.0			Vis.	FE								V				R CAM		STD				
2432979.6	<13.0			Vis.	FE								V				R CAM		STD				
2432996.5	<13.0			Vis.	FE								V				R CAM		STD				
2433007.6	12.8			Vis.	FE								V				R CAM		STD				
2433019.7	11.5			Vis.	FE								V				R CAM		STD				
2433026.5	10.9			Vis.	H								V				R CAM		STD				
2433026.7	11.1			Vis.	BC								V				R CAM		STD				
2433026.7	11.2			Vis.	BGD								V				R CAM		STD				
2433027.6	10.5			Vis.	GRM								V				R CAM		STD				
2433031.6	11.0			Vis.	FE								V				R CAM		STD				
2433031.6	10.0			Vis.	H								V				R CAM		STD				
2433035.6	9.5			Vis.	GRM								V				R CAM		STD				
2433035.7	10.0			Vis.	BGD								V				R CAM		STD				
2433037.33	9.9			Vis.	CC								V				R CAM		STD				
2433039.7	9.9			Vis.	UP								V				R CAM		STD				
2433050.6	10.1			Vis.	FE								V				R CAM		STD				
2433054.6	9.6			Vis.	GRM								V				R CAM		STD				
2433060.6	9.8			Vis.	GRM								V				R CAM		STD				
2433062.6	9.1			Vis.	FE								V				R CAM		STD				
2433064.7	9.5			Vis.	BGD	W							V				R CAM		STD				
2433065.7	9.9			Vis.	UP								V				R CAM		STD				
2433066.6	9.5			Vis.	GRM								V				R CAM		STD				
2433066.6	9.5			Vis.	H								V				R CAM		STD				
2433068.7	9.5			Vis.	EC								V				R CAM		STD				
2433069.6	9.6			Vis.	FE								V				R CAM		STD				
2433074.7	9.8			Vis.	BC								V				R CAM		STD				
2433075.6	9.2			Vis.	GRM								V				R CAM		STD				
2433080.7	9.5			Vis.	BGD								V				R CAM		STD				
2433081.6	9.0			Vis.	FE								V				R CAM		STD				
2433082.6	9.0			Vis.	GRM								V				R CAM		STD				
2433086.7	8.6			Vis.	FE								V				R CAM		STD				
2433087.33	9.1			Vis.	CC								V				R CAM		STD				
2433090.7	9.3			Vis.	BGD								V				R CAM		STD				
2433090.7	9.0			Vis.	UP								V				R CAM		STD				
2433091.6	9.1			Vis.	H								V				R CAM		STD				
2433095.6	8.8			Vis.	GRM								V				R CAM		STD				
2433095.6	9.3			Vis.	W								V				R CAM		STD				
2433095.7	9.0			Vis.	RCJ								V				R CAM		STD				
2433096.7	9.1			Vis.	BC								V				R CAM		STD				
2433099.7	8.8			Vis.	BGD								V				R CAM		STD				
2433101.6	8.6			Vis.	FE								V				R CAM		STD				
2433103.6	9.1			Vis.	TF								V				R CAM		STD				
2433111.7	9.0			Vis.	BGD								V				R CAM		STD				
2433113.7	8.3			Vis.	UP								V				R CAM		STD				
2433114.6	8.4			Vis.	FE								V				R CAM		STD				
2433120.7	8.3			Vis.	BC								V				R CAM		STD				
2433121.6	8.3			Vis.	FE								V				R CAM		STD				
2433121.6	8.4			Vis.	GRM								V				R CAM		STD				
2433122.39	8.2			Vis.	CC								V				R CAM		STD				
2433122.6	8.3			Vis.	H								V				R CAM		STD				
2433123.6	9.0			Vis.	TF								V				R CAM		STD				
2433125.7	8.4			Vis.	RCJ								V				R CAM		STD				
2433126.6	8.2			Vis.	FE								V				R CAM		STD				
2433129.6	8.5			Vis.	GRM								V				R CAM		STD				
2433130.6	8.4			Vis.	FE								V				R CAM		STD				
2433131.6	8.4			Vis.	W								V				R CAM		STD				
2433136.6	8.2			Vis.	GRM								V				R CAM		STD				
2433142.6	8.3			Vis.	FE								V				R CAM		STD				
2433144.6	9.0			Vis.	GRM								V				R CAM		STD				
2433149.6	9.3			Vis.	W								V				R CAM		STD				
2433150.6	8.5			Vis.	FE								V				R CAM		STD				
2433150.7	9.2			Vis.	UP								V				R CAM		STD				
2433151.7	9.2			Vis.	RCJ								V				R CAM		STD				
2433152.7	9.6			Vis.	BC								V				R CAM		STD				
2433153.7	9.1			Vis.	BGD								V				R CAM		STD				
2433161.6	9.5			Vis.	GRM								V				R CAM		STD				
2433162.5	9.7			Vis.	H								V				R CAM		STD				
2433162.6	9.0			Vis.	FE								V				R CAM		STD				
2433162.7	10.1			Vis.	BGD								V				R CAM		STD				
2433167.6	10.0			Vis.	GRM								V				R CAM		STD				
2433171.7	10.1			Vis.	BGD								V				R CAM		STD				
2433177.6	9.6			Vis.	FE								V				R CAM		STD				
2433177.6	10.4			Vis.	H								V				R CAM		STD				
2433177.6	10.4			Vis.	W								V				R CAM		STD				
2433182.32	10.6			Vis.	CC								V				R CAM		STD				
2433184.7	10.9			Vis.	UP								V				R CAM		STD				
2433185.5	10.5			Vis.	FE								V				R CAM		STD				
2433185.6	11.2			Vis.	GRM								V				R CAM		STD				
2433185.7	10.8			Vis.	BGD								V				R CAM		STD				
2433186.7	11.2			Vis.	RCJ								V				R CAM		STD				
2433191.5	11.0			Vis.	FE								V				R CAM		STD				
2433214.5	12.1			Vis.	FE								V				R CAM		STD				
2433218.6	13.0			Vis.	RCJ								V				R CAM		STD				
2433230.5	<11.5			Vis.	W								V				R CAM		STD				
2433235.4	<13.0			Vis.	FE								V				R CAM		STD				
2433247.9	13.3			Vis.	FE								V				R CAM		STD				
2433274.9	12.3			Vis.	FE								V				R CAM		STD				
2433278.8	11.7			Vis.	LV								V				R CAM		STD				
2433279.8	11.8			Vis.	CR								V				R CAM		STD				
2433298.7	9.1			Vis.	BGD								V				R CAM		STD				
2433298.7	9.9			Vis.	RCJ								V				R CAM		STD				
2433299.5	9.78			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433300.4	9.76			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433305.5	9.69			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433306.4	9.4			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433309.7	9.0			Vis.	BGD								V				R CAM		STD				
2433316.5	9.19			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433317.6	9.5			Vis.	GRM								V				R CAM		STD				
2433321.5	8.91			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433324.4	8.72			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433329.4	8.72			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433330.6	8.8			Vis.	GRM								V				R CAM		STD				
2433330.7	8.8			Vis.	BGD	W							V				R CAM		STD				
2433334.4	9.04			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433334.4	8.72			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433339.7	9.2			Vis.	UT								V				R CAM		STD				
2433340.7	8.8			Vis.	BGD	W							V				R CAM		STD				
2433347.7	8.9			Vis.	BGD	W							V				R CAM		STD				
2433348.3	8.74			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433349.4	8.72			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433351.6	9.6			Vis.	GRM								T				R CAM		STD				
2433352.4	8.72			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433355.6	8.5			Vis.	FE								V				R CAM		STD				
2433355.7	8.8			Vis.	BGD	W							V				R CAM		STD				
2433355.7	8.9			Vis.	H								V				R CAM		STD				
2433361.5	8.64			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433362.7	8.2			Vis.	FE								V				R CAM		STD				
2433365.4	8.35			Vis.	BJRB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433365.5	8.48			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433370.7	8.2			Vis.	BGD	W							V				R CAM		STD				
2433377.5	8.56			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433379.4	8.48			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433379.6	8.2			Vis.	GRM								V				R CAM		STD				
2433379.6	8.3			Vis.	OV								V				R CAM		STD				
2433380.6	8.2			Vis.	FE								V				R CAM		STD				
2433380.8	8.2			Vis.	EC								V				R CAM		STD				
2433381.5	8.3			Vis.	H								V				R CAM		STD				
2433381.7	8.2			Vis.	BGD								V				R CAM		STD				
2433382.8	8.2			Vis.	LV								V				R CAM		STD				
2433383.5	8.25			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433386.7	8.4			Vis.	TB								V				R CAM		STD				
2433387.6	8.5			Vis.	GRM								V				R CAM		STD				
2433388.6	8.1			Vis.	FE								V				R CAM		STD				
2433389.7	8.3			Vis.	BC								V				R CAM		STD				
2433392.4	8.25			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433392.7	8.7			Vis.	OBS								V				R CAM		STD				
2433395.7	8.1			Vis.	BGD								V				R CAM		STD				
2433396.6	8.2			Vis.	FE								V				R CAM		STD				
2433402.4	8.58			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433408.6	8.9			Vis.	GRM								V				R CAM		STD				
2433408.7	9.3			Vis.	RCJ								V				R CAM		STD				
2433409.7	9.3			Vis.	BGD								V				R CAM		STD				
2433413.5	9.18			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433414.4	8.94			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433414.6	8.6			Vis.	FE								V				R CAM		STD				
2433415.5	9.1			Vis.	UP								V				R CAM		STD				
2433416.7	9.8			Vis.	BC								V				R CAM		STD				
2433418.6	9.5			Vis.	GRM								V				R CAM		STD				
2433422.9	9.7			Vis.	LV								V				R CAM		STD				
2433423.6	8.9			Vis.	FE								V				R CAM		STD				
2433423.6	9.7			Vis.	H								V				R CAM		STD				
2433430.4	9.82			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433435.7	10.1			Vis.	BGD								V				R CAM		STD				
2433435.7	9.9			Vis.	H								V				R CAM		STD				
2433437.6	9.5			Vis.	FE								V				R CAM		STD				
2433437.6	10.9			Vis.	GRM								V				R CAM		STD				
2433437.7	10.3			Vis.	BU								V				R CAM		STD				
2433438.5	10.06			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433441.7	10.0			Vis.	UP								V				R CAM		STD				
2433444.6	10.2			Vis.	FE								V				R CAM		STD				
2433444.6	10.6			Vis.	GRM								V				R CAM		STD				
2433444.7	11.0			Vis.	BGD								V				R CAM		STD				
2433444.7	10.2			Vis.	W								V				R CAM		STD				
2433446.8	10.9			Vis.	LV								V				R CAM		STD				
2433450.6	11.1			Vis.	GRM								V				R CAM		STD				
2433455.7	11.5			Vis.	RCJ								V				R CAM		STD				
2433456.5	10.93			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433457.36	11.0			Vis.	CC								V				R CAM		STD				
2433457.7	11.5			Vis.	LV								V				R CAM		STD				
2433472.6	11.0			Vis.	FE								V				R CAM		STD				
2433472.7	11.3			Vis.	TB								V				R CAM		STD				
2433476.7	<9.8			Vis.	UP	X							V				R CAM		STD				
2433486.5	11.76			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433487.4	12.06			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433495.6	12.6			Vis.	FE								V				R CAM		STD				
2433499.4	12.65			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433500.7	12.6			Vis.	LV								V				R CAM		STD				
2433507.6	12.9			Vis.	FE								V				R CAM		STD				
2433507.7	12.9			Vis.	BC								V				R CAM		STD				
2433512.4	12.9			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433513.32	<10.3			Vis.	ELD								V				R CAM		STD				
2433515.4	13.09			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433526.6	<13.0			Vis.	FE								V				R CAM		STD				
2433529.6	<12.0			Vis.	W								V				R CAM		STD				
2433539.4	12.89			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433545.8	12.8			Vis.	FE	Y							V				R CAM		STD				
2433555.5	11.7			Vis.	FE								V				R CAM		STD				
2433556.6	11.5			Vis.	W								V				R CAM		STD				
2433560.3	11.36			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433561.4	11.07			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433563.4	11.16			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433567.4	10.86			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433571.6	9.6			Vis.	W								V				R CAM		STD				
2433581.6	9.9			Vis.	H								V				R CAM		STD				
2433585.7	10.1			Vis.	BGD								V				R CAM		STD				
2433586.5	10.2			Vis.	FE								V				R CAM		STD				
2433591.3	9.52			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433591.7	9.0			Vis.	BGD								V				R CAM		STD				
2433592.4	9.36			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433600.4	9.22			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433614.3	8.75			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433617.7	8.6			Vis.	BGD								V				R CAM		STD				
2433620.2	8.7			Vis.	BEC								V				R CAM		STD				
2433620.3	8.7			Vis.	SD								V				R CAM		STD				
2433621.2	8.6			Vis.	BEC								V				R CAM		STD				
2433621.2	8.6			Vis.	SD								V				R CAM		STD				
2433621.5	8.75			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433621.6	8.4			Vis.	GRM								V				R CAM		STD				
2433624.9	8.4			Vis.	CR								V				R CAM		STD				
2433628.2	8.5			Vis.	BEC								V				R CAM		STD				
2433628.3	8.5			Vis.	SD								V				R CAM		STD				
2433628.5	8.35			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433629.2	8.5			Vis.	BEC								V				R CAM		STD				
2433629.3	8.5			Vis.	SD								V				R CAM		STD				
2433630.2	8.4			Vis.	BEC								V				R CAM		STD				
2433630.3	8.4			Vis.	SD								V				R CAM		STD				
2433633.2	8.3			Vis.	BEC								V				R CAM		STD				
2433633.3	8.3			Vis.	SD								V				R CAM		STD				
2433633.6	8.5			Vis.	GRM								V				R CAM		STD				
2433634.2	8.3			Vis.	BEC								V				R CAM		STD				
2433634.3	8.3			Vis.	SD								V				R CAM		STD				
2433643.2	8.4			Vis.	BEC								V				R CAM		STD				
2433643.2	8.4			Vis.	SD								V				R CAM		STD				
2433644.2	8.3			Vis.	BEC								V				R CAM		STD				
2433644.2	8.3			Vis.	SD								V				R CAM		STD				
2433646.2	8.4			Vis.	BEC								V				R CAM		STD				
2433646.3	8.4			Vis.	SD								V				R CAM		STD				
2433647.3	8.4			Vis.	BEC								V				R CAM		STD				
2433647.3	8.5			Vis.	SD								V				R CAM		STD				
2433647.6	8.3			Vis.	GRM								V				R CAM		STD				
2433648.4	8.35			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433649.2	8.4			Vis.	BEC								V				R CAM		STD				
2433652.6	8.4			Vis.	GRM								V				R CAM		STD				
2433654.0	8.6			Vis.	LV								V				R CAM		STD				
2433656.4	8.34			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433657.2	8.6			Vis.	BEC								V				R CAM		STD				
2433657.2	8.6			Vis.	SD								V				R CAM		STD				
2433658.4	8.45			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433660.4	8.45			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433663.2	8.8			Vis.	BEC								V				R CAM		STD				
2433663.2	8.8			Vis.	SD								V				R CAM		STD				
2433663.6	8.6			Vis.	GRM								V				R CAM		STD				
2433668.2	8.9			Vis.	BEC								V				R CAM		STD				
2433672.2	8.9			Vis.	BEC								V				R CAM		STD				
2433672.3	8.9			Vis.	SD								V				R CAM		STD				
2433674.4	8.96			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433675.4	8.98			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433677.2	9.0			Vis.	BEC								V				R CAM		STD				
2433677.2	8.9			Vis.	SD								V				R CAM		STD				
2433677.9	9.2			Vis.	EC								V				R CAM		STD				
2433684.2	9.1			Vis.	BEC								V				R CAM		STD				
2433684.3	9.1			Vis.	SD								V				R CAM		STD				
2433684.5	9.47			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433687.2	9.2			Vis.	BEC								V				R CAM		STD				
2433694.8	9.6			Vis.	LV								V				R CAM		STD				
2433700.3	9.9			Vis.	BEC								V				R CAM		STD				
2433700.4	9.9			Vis.	SD								V				R CAM		STD				
2433702.6	10.0			Vis.	GRM								V				R CAM		STD				
2433706.4	10.71			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433710.4	10.9			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433713.6	11.2			Vis.	H								V				R CAM		STD				
2433723.9	11.2			Vis.	LV								V				R CAM		STD				
2433733.5	11.68			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433736.5	11.84			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433738.8	12.0			Vis.	TB								V				R CAM		STD				
2433741.6	11.7			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433746.5	11.92			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433750.5	11.82			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433753.4	12.5			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433760.4	12.7			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433762.4	12.8			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433764.6	13.0			Vis.	FE								V				R CAM		STD				
2433769.4	12.45			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433772.5	12.36			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433775.6	13.1			Vis.	RCJ								V				R CAM		STD				
2433777.4	12.35			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433778.4	12.55			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433778.5	12.59			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433796.5	11.76			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433797.6	12.5			Vis.	FE								V				R CAM		STD				
2433797.6	12.0			Vis.	GRM								V				R CAM		STD				
2433799.5	11.74			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433803.5	11.76			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433803.5	11.8			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433803.6	11.9			Vis.	FE	W							V				R CAM		STD				
2433804.6	11.8			Vis.	GRM								V				R CAM		STD				
2433807.8	13.2			Vis.	LV								T				R CAM		STD				
2433813.5	11.6			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433814.6	11.8			Vis.	GRM								V				R CAM		STD				
2433815.5	11.12			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433821.6	11.0			Vis.	GRM								V				R CAM		STD				
2433822.4	10.9			Vis.	FCR								V				R CAM		STD				
2433822.5	10.76			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433824.7	11.1			Vis.	BC								V				R CAM		STD				
2433824.7	11.1			Vis.	RCJ								V				R CAM		STD				
2433826.5	10.7			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433830.6	9.2			Vis.	FE								T				R CAM		STD				
2433830.6	10.9			Vis.	GRM								V				R CAM		STD				
2433831.5	10.01			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433832.4	9.92			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433834.5	10.4			Vis.	FCR								V				R CAM		STD				
2433834.7	9.8			Vis.	RCJ								V				R CAM		STD				
2433835.5	9.86			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433841.5	9.86			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433841.5	10.01			Vis.	RFQ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433841.6	8.8			Vis.	FE								T				R CAM		STD				
2433844.5	9.61			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433847.5	9.51			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433848.6	9.7			Vis.	H								V				R CAM		STD				
2433848.6	9.66			Vis.	RFQ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433851.7	9.6			Vis.	MTG								V				R CAM		STD				
2433852.4	9.47			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433854.7	9.4			Vis.	RCJ								V				R CAM		STD				
2433855.5	9.59			Vis.	RFQ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433856.4	9.31			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433856.5	9.22			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433856.7	9.7			Vis.	BC								V				R CAM		STD				
2433858.4	9.0			Vis.	RCG								V				R CAM		STD				
2433858.6	9.5			Vis.	GRM								V				R CAM		STD				
2433859.5	9.21			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433859.7	9.6			Vis.	BC								V				R CAM		STD				
2433860.7	9.3			Vis.	MTG								V				R CAM		STD				
2433861.5	9.26			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433862.7	9.3			Vis.	TB								V				R CAM		STD				
2433863.5	9.18			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433863.6	8.4			Vis.	FE								T				R CAM		STD				
2433863.6	9.5			Vis.	GRM								V				R CAM		STD				
2433863.6	8.99			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433869.7	9.4			Vis.	RCJ								V				R CAM		STD				
2433871.4	8.91			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433871.5	8.88			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433873.5	9.36			Vis.	RFQ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433877.6	9.4			Vis.	GRM								V				R CAM		STD				
2433877.6	9.3			Vis.	H								V				R CAM		STD				
2433878.5	9.24			Vis.	SHWL								Z				R CAM	BAA-VSS	STD				BAAVSS
2433878.6	8.9			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433881.7	9.0			Vis.	BGD								V				R CAM		STD				
2433882.4	9.12			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433889.7	8.7			Vis.	BGD								V				R CAM		STD				
2433890.5	9.16			Vis.	RFQ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433891.3	8.8			Vis.	RCG								V				R CAM		STD				
2433891.6	8.6			Vis.	FE								V				R CAM		STD				
2433891.8	9.3			Vis.	CR								V				R CAM		STD				
2433892.3	8.9			Vis.	RCG								V				R CAM		STD				
2433894.3	8.8			Vis.	RCG								V				R CAM		STD				
2433894.7	9.1			Vis.	BGD								V				R CAM		STD				
2433896.3	8.8			Vis.	RCG								V				R CAM		STD				
2433897.3	8.6			Vis.	RCG								V				R CAM		STD				
2433898.5	9.32			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433898.6	9.1			Vis.	H								V				R CAM		STD				
2433899.7	9.0			Vis.	RCJ								V				R CAM		STD				
2433900.3	8.7			Vis.	RCG								V				R CAM		STD				
2433901.3	8.6			Vis.	RCG								V				R CAM		STD				
2433902.3	8.6			Vis.	RCG								V				R CAM		STD				
2433903.29	8.8			Vis.	ELD								V				R CAM		STD				
2433903.4	9.06			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433905.4	8.72			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433906.4	8.62			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433907.4	8.44			Vis.	HFB								Z				R CAM	BAA-VSS	STD				BAAVSS
2433907.5	8.4			Vis.	AGR								Z				R CAM	BAA-VSS	STD				BAAVSS
2433909.6	8.2			Vis.	GRM								V				R CAM		STD				
2433911.5	8.76			Vis.	FDJ								Z				R CAM	BAA-VSS	STD				BAAVSS
2433911.6	8.4			Vis.	H								V				R CAM		STD				
2433912.3	8.3			Vis.	RCG								V				R CAM		STD				
